id,name,category,frontend,backend,database,deployment,tags,description,popularity
TS01,Python Data Science Stack,data science,Streamlit,Python,PostgreSQL,AWS,"python pandas numpy scikit learn analytics machine learning visualization sql cloud","Best for analytics dashboards, machine learning prototypes, data exploration, and model-driven applications.",15
TS02,Modern React Web Stack,web development,React,Node.js,PostgreSQL,Vercel,"react javascript typescript node api web development frontend sql cloud","Balanced choice for responsive web applications with a modern JavaScript frontend and API backend.",14
TS03,FastAPI ML Service,AI engineering,React,FastAPI,PostgreSQL,AWS,"python fastapi api machine learning react sql cloud deployment","Strong fit when Python models need to be exposed through production-friendly APIs and a web interface.",13
TS04,Next.js SaaS Stack,full stack,Next.js,Node.js,PostgreSQL,Vercel,"nextjs react typescript node saas web api postgres cloud","Good for full-stack SaaS products requiring routing, APIs, relational data, and fast cloud deployment.",12
TS05,Django Business Platform,backend web,Django,Python,PostgreSQL,AWS,"python django web backend sql authentication admin api cloud","Suitable for data-heavy business applications, authentication, administration, and robust server-side workflows.",11
TS06,Data Engineering Stack,data engineering,Streamlit,Python,PostgreSQL,AWS,"python etl pipelines data engineering sql airflow spark cloud automation","Designed for ETL workflows, data pipelines, automation, analytics platforms, and cloud data processing.",10
TS07,Cloud Automation Stack,cloud automation,None,Python,DynamoDB,AWS,"python automation cloud aws boto3 serverless devops infrastructure","Best for cloud operations, infrastructure automation, serverless workflows, and programmatic AWS tooling.",9
TS08,Python API Automation Stack,automation,Streamlit,FastAPI,PostgreSQL,AWS,"python fastapi automation api scripts sql workflow cloud","Useful for automation tools and internal applications that combine Python workflows with a lightweight API and dashboard.",8
TS09,React Analytics Stack,analytics,React,Node.js,PostgreSQL,AWS,"react javascript node analytics dashboard charts sql api cloud","Focused on interactive analytics dashboards with rich browser visualization and API-backed SQL data.",7
TS10,Deep Learning API Stack,deep learning,Streamlit,FastAPI,PostgreSQL,AWS,"python pytorch fastapi deep learning ai machine learning api cloud","For deep learning inference applications where Python models need a simple interactive UI and scalable API service.",6
TS11,Serverless TypeScript Stack,serverless,React,Node.js,DynamoDB,AWS,"typescript react node serverless aws lambda dynamodb api web cloud","Good for scalable event-driven web APIs and applications using managed serverless cloud services.",5
TS12,SQL Reporting Stack,business intelligence,Streamlit,Python,PostgreSQL,AWS,"python sql reporting dashboard analytics pandas visualization business intelligence cloud","Best for reporting, SQL analysis, KPI dashboards, and business intelligence workflows with minimal frontend complexity.",4
